"event_nr";"event_text_raw";"event_text_processed";"rule_nr";"rule_name";"location";"start_day";"start_month";"start_year";"end_day";"end_month";"end_year";
1;"British withdrawal from the European Union, also shortened from ""British exit"" to Brexit, is a political goal that has been pursued by various individuals, advocacy groups, and political parties since the United Kingdom joined the precursor of the European Union (EU) in 1973.";"British withdrawal from the European Union, also shortened from British exit to Brexit, is a political goal that has been pursued by various individuals, advocacy groups, and political parties since the United Kingdom joined the precursor of the European Union (EU) in 1973.";;;;;;1973;;;;
2;"Withdrawal from the European Union has been a right of EU member states since 2007 under Article 50 of the Treaty on European Union.";"Withdrawal from the European Union has been a right of EU member states since 2007 under Article 50 of the Treaty on European Union.";;;;;;2007;;;;
3;"In 1975, a referendum was held on the country's membership of the European Economic Community (EEC), later known as the EU.";"In 1975, a referendum was held on the country's membership of the European Economic Community (EEC), later known as the EU.";;;;;;1975;;;;
4;"The outcome of the vote was approximately 67% in favour of the UK's continued membership of the EEC.";;;;;;;;;;;
5;"The UK electorate again addressed the question on 23 June 2016, in a referendum on the country's membership.";"The UK electorate again addressed the question on 23 June 2016, in a referendum on the country's membership.";;;;23;6;2016;;;;
6;"This referendum was arranged by Parliament when it passed the European Union Referendum Act 2015.";"This referendum was arranged by Parliament when it passed the European Union Referendum Act 2015.";;;;;;2015;;;;
7;"The result was 51.9% in support of an exit (17,410,742 votes) and 48.1% (16,141,241 votes) to remain with a turnout of 72.2% and 26,033 rejected ballots.";;;;;;;;;;;
8;"The exact process for the UK's withdrawal is uncertain under EU law, although it is generally expected to take longer than two years.";;;;;;;;;;;
9;"Article 50 which governs the withdrawal has never been used before.";;;;;;;;;;;
10;"The timing of leaving under the article is a strict two years, although extensions are possible, once Britain gives an official notice but no official notice seems forthcoming until after a new British Prime Minister is selected later in 2016.";"The timing of leaving under the article is a strict two years, although extensions are possible, once Britain gives an official notice but no official notice seems forthcoming until after a new British Prime Minister is selected later in 2016.";;;;;;2016;;;;
11;"The British Prime Minister David Cameron announced he will resign by October, while the First Minister of Scotland Nicola Sturgeon has said that Scotland may refuse legislative consent to dropping EU law in Scotland.";"The British Prime Minister David Cameron announced he will resign by October, while the First Minister of Scotland Nicola Sturgeon has said that Scotland may refuse legislative consent to dropping EU law in Scotland.";;;;;10;;;;;
12;"The UK was not a signatory to the Treaty of Rome which created the EEC in 1957.";"The UK was not a signatory to the Treaty of Rome which created the EEC in 1957.";;;;;;1957;;;;
13;"The country subsequently applied to join the organization in 1963 and again in 1967, but both applications were vetoed by the then President of France, Charles de Gaulle, ostensibly because ""a number of aspects of Britain's economy, from working practices to agriculture"" ""made Britain incompatible with Europe"" and that Britain harboured a ""deep-seated hostility"" to any pan-European project.";"The country subsequently applied to join the organization in 1963 and again in 1967, but both applications were vetoed by the then President of France, Charles de Gaulle, ostensibly because a number of aspects of Britain's economy, from working practices to agriculture made Britain incompatible with Europe and that Britain harboured a deep-seated hostility to any pan-European project.";;;;;;1963;;;1967;
14;"Once de Gaulle had relinquished the French presidency, the UK made a third application for membership, which was successful.";;;;;;;;;;;
15;"Under the Conservative Prime Minister Edward Heath the European Communities Act 1972 was enacted.";"Under the Conservative Prime Minister Edward Heath the European Communities Act 1972 was enacted.";;;;;;1972;;;;
16;"On 1 January 1973 the United Kingdom joined the EEC, then often referred to in the UK as the ""Common Market"".";"On 1 January 1973 the United Kingdom joined the EEC, then often referred to in the UK as the Common Market.";;;;1;1;1973;;;;
17;"The opposition Labour Party, led by Harold Wilson, contested the October 1974 general election with a commitment to renegotiate Britain's terms of membership of the EEC and then hold a referendum on whether to remain in the EEC on the new terms.";"The opposition Labour Party, led by Harold Wilson, contested the October 1974 general election with a commitment to renegotiate Britain's terms of membership of the EEC and then hold a referendum on whether to remain in the EEC on the new terms.";;;;;10;1974;;;;
18;"In 1975 the United Kingdom held a referendum on whether the UK should remain in the EEC.";"In 1975 the United Kingdom held a referendum on whether the UK should remain in the EEC.";;;;;;1975;;;;
19;"All of the major political parties and mainstream press supported continuing membership of the EEC.";;;;;;;;;;;
20;"However, there were significant splits within the ruling Labour party, the membership of which had voted 2:1 in favour of withdrawal at a one-day party conference on 26 April 1975.";"However, there were significant splits within the ruling Labour party, the membership of which had voted 2:1 in favour of withdrawal at a one-day party conference on 26 April 1975.";;;;26;4;1975;;;;
21;"Since the cabinet was split between strongly pro-European and strongly anti-European ministers, Harold Wilson suspended the constitutional convention of Cabinet collective responsibility and allowed ministers to publicly campaign on either side.";;;;;;;;;;;
22;"Seven of the twenty-three members of the cabinet opposed EEC membership.";;;;;;;;;;;
23;"On 5 June 1975, the electorate were asked to vote yes or no on the question: ""Do you think the UK should stay in the European Community (Common Market)?""";"On 5 June 1975, the electorate were asked to vote yes or no on the question: Do you think the UK should stay in the European Community (Common Market) ?";;;;5;6;1975;;;;
24;"Every administrative county in the UK had a majority of ""Yes"", except the Shetland Islands and the Outer Hebrides.";;;;;;;;;;;
25;"In line with the outcome of the vote, the United Kingdom remained a member of the EEC.";;;;;;;;;;;
26;"The opposition Labour Party campaigned in the 1983 general election on a commitment to withdraw from the EEC.";"The opposition Labour Party campaigned in the 1983 general election on a commitment to withdraw from the EEC.";;;;;;1983;;;;
27;"It was heavily defeated as the Conservative government of Margaret Thatcher was re-elected. ";;;;;;;;;;;
28;"The Labour Party subsequently changed its policy.";;;;;;;;;;;
29;"As a result of the Maastricht Treaty, the EEC became the European Union on 1 November 1993.";"As a result of the Maastricht Treaty, the EEC became the European Union on 1 November 1993.";;;;1;11;1993;;;;
30;"The organization had evolved from an economic union into a political union. ";;;;;;;;;;;
31;"The name change reflected this.";;;;;;;;;;;
32;"The Referendum Party was formed in 1994 by Sir James Goldsmith to contest the 1997 general election on a platform of providing a referendum on the UK's membership of the EU.";"The Referendum Party was formed in 1994 by Sir James Goldsmith to contest the 1997 general election on a platform of providing a referendum on the UK's membership of the EU.";;;;;;1994;;;;
33;"It fielded candidates in 547 constituencies at that election and won 810,860 votes, 2.6% of total votes cast.";;;;;;;;;;;
34;"It failed to win a single parliamentary seat as its vote was spread out, losing its deposit (funded by Goldsmith) in 505 constituencies.";;;;;;;;;;;
35;"The UK Independence Party (UKIP), a Eurosceptic political party, was also formed in 1993.";"The UK Independence Party (UKIP), a Eurosceptic political party, was also formed in 1993.";;;;;;1993;;;;
36;"It achieved third place in the UK during the 2004 European elections, second place in the 2009 European elections and first place in the 2014 European elections, with 27.5% of the total vote.";"It achieved third place in the UK during the 2004 European elections, second place in the 2009 European elections and first place in the 2014 European elections, with 27.5% of the total vote.";;;;;;2004;;;;
37;"This was the first time since the 1910 general election that any party other than the Labour or Conservative parties had taken the largest share of the vote in a nationwide election.";"This was the first time since the 1910 general election that any party other than the Labour or Conservative parties had taken the largest share of the vote in a nationwide election.";;;;;;1910;;;;
38;"In 2014, UKIP won two by-elections, triggered when the sitting Conservative MPs defected to UKIP and then resigned.";"In 2014, UKIP won two by-elections, triggered when the sitting Conservative MPs defected to UKIP and then resigned.";;;;;;2014;;;;
39;"In 2015, the 2015 general election UKIP took 12.6% of the total vote and held one of the two seats won in 2014.";"In 2015, the 2015 general election UKIP took 12.6% of the total vote and held one of the two seats won in 2014.";;;;;;2015;;;;
40;"In 2012, Prime Minister David Cameron rejected calls for a referendum on the UK's EU membership, but suggested the possibility of a future referendum to gauge public support.";"In 2012, Prime Minister David Cameron rejected calls for a referendum on the UK's EU membership, but suggested the possibility of a future referendum to gauge public support.";;;;;;2012;;;;
41;"According to the BBC, ""The prime minister acknowledged the need to ensure the UK's position within the European Union had 'the full-hearted support of the British people' but they needed to show 'tactical and strategic patience'.";;;;;;;;;;;
42;"In January 2013, Cameron announced that a Conservative government would hold an in-out referendum on EU membership before the end of 2017, on a renegotiated package, if elected in 2015.";"In January 2013, Cameron announced that a Conservative government would hold an in-out referendum on EU membership before the end of 2017, on a renegotiated package, if elected in 2015.";;;;;1;2013;;;;
43;"The Conservative Party won the 2015 general election with a majority.";"The Conservative Party won the 2015 general election with a majority.";;;;;;2015;;;;
